"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 17:16:34 GMT 2025","Tue Oct 28 17:16:34 GMT 2025","708","API test case","test_inspections_smr","TestInspectionsSmr","","","Создание инспекции СМР",""
"passed","Tue Oct 28 17:16:42 GMT 2025","Tue Oct 28 17:16:42 GMT 2025","306","API test case","test_projects_list","TestProjectsList","","","Получение списка проектов",""
"passed","Tue Oct 28 17:15:27 GMT 2025","Tue Oct 28 17:15:40 GMT 2025","13145","API test case","test_dashboards","TestDashboards","","","п.7, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:12:10 GMT 2025","Tue Oct 28 17:12:24 GMT 2025","13491","API test case","test_dashboards","TestDashboards","","","п.4, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:13:57 GMT 2025","Tue Oct 28 17:14:11 GMT 2025","14040","API test case","test_dashboards","TestDashboards","","","п.6, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:12:47 GMT 2025","Tue Oct 28 17:13:01 GMT 2025","14120","API test case","test_dashboards","TestDashboards","","","п.4, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:16:42 GMT 2025","Tue Oct 28 17:16:42 GMT 2025","543","API test case","test_projects_list","TestProjectsList","","","Создание и удаление проекта",""
"passed","Tue Oct 28 17:13:21 GMT 2025","Tue Oct 28 17:13:35 GMT 2025","13710","API test case","test_dashboards","TestDashboards","","","п.6, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:16:35 GMT 2025","Tue Oct 28 17:16:35 GMT 2025","326","API test case","test_structures_smr","TestStructuresSmr","","","Получение данных структуры СМР",""
"passed","Tue Oct 28 17:16:40 GMT 2025","Tue Oct 28 17:16:41 GMT 2025","771","API test case","test_structures_smr","TestStructuresSmr","","","Удаление раздела в структуре СМР",""
"passed","Tue Oct 28 17:14:35 GMT 2025","Tue Oct 28 17:14:48 GMT 2025","13621","API test case","test_dashboards","TestDashboards","","","п.6, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:16:42 GMT 2025","Tue Oct 28 17:16:43 GMT 2025","395","API test case","test_projects_list","TestProjectsList","","","Обновление поля - ""Наименование""",""
"passed","Tue Oct 28 17:11:36 GMT 2025","Tue Oct 28 17:11:49 GMT 2025","13327","API test case","test_dashboards","TestDashboards","","","п.4, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:16:36 GMT 2025","Tue Oct 28 17:16:37 GMT 2025","526","API test case","test_structures_smr","TestStructuresSmr","","","Обновление раздела в структуре СМР",""
"passed","Tue Oct 28 17:16:00 GMT 2025","Tue Oct 28 17:16:14 GMT 2025","13932","API test case","test_dashboards","TestDashboards","","","п.7, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"broken","Tue Oct 28 17:16:43 GMT 2025","Tue Oct 28 17:18:59 GMT 2025","135972","API test case","test_projects_list","TestProjectsList","","","Обновление поля - ""Номер""",""
"passed","Tue Oct 28 17:12:29 GMT 2025","Tue Oct 28 17:12:42 GMT 2025","13352","API test case","test_dashboards","TestDashboards","","","п.4, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:14:52 GMT 2025","Tue Oct 28 17:15:06 GMT 2025","14067","API test case","test_dashboards","TestDashboards","","","п.7, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:16:38 GMT 2025","Tue Oct 28 17:16:38 GMT 2025","767","API test case","test_structures_smr","TestStructuresSmr","","","Создание работы в структуре СМР",""
"passed","Tue Oct 28 17:16:18 GMT 2025","Tue Oct 28 17:16:32 GMT 2025","14097","API test case","test_dashboards","TestDashboards","","","п.8, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Весь период""",""
"passed","Tue Oct 28 17:13:05 GMT 2025","Tue Oct 28 17:13:18 GMT 2025","13535","API test case","test_dashboards","TestDashboards","","","п.5, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Весь период""",""
"failed","Tue Oct 28 17:15:10 GMT 2025","Tue Oct 28 17:15:23 GMT 2025","13144","API test case","test_dashboards","TestDashboards","","","п.7, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:15:43 GMT 2025","Tue Oct 28 17:15:57 GMT 2025","13821","API test case","test_dashboards","TestDashboards","","","п.7, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
"passed","Tue Oct 28 17:16:33 GMT 2025","Tue Oct 28 17:16:34 GMT 2025","350","API test case","test_inspections_smr","TestInspectionsSmr","","","Получение списка инспекций СМР",""
"failed","Tue Oct 28 17:11:52 GMT 2025","Tue Oct 28 17:12:06 GMT 2025","14004","API test case","test_dashboards","TestDashboards","","","п.4, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Месяц""",""
